,Code5,Level1,Level2,Level3,Level4,Level5,Drug,ATC_5,ATC_4,ATC_3,ATC_2,ATC_1,covid
337,A08AA10,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Centrally acting antiobesity products,sibutramine,sibutramine,A08AA,A08A,A08,A0,A,No
338,A08AA11,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Centrally acting antiobesity products,lorcaserin,lorcaserin,A08AA,A08A,A08,A0,A,No
339,A08AA56,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Centrally acting antiobesity products,"ephedrine, combinations","ephedrine, combinations",A08AA,A08A,A08,A0,A,No
340,A08AB01,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Peripherally acting antiobesity products,orlistat,orlistat,A08AB,A08A,A08,A0,A,No
341,A08AX01,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Other antiobesity drugs,rimonabant,rimonabant,A08AX,A08A,A08,A0,A,No
342,A09AA01,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Enzyme preparations,diastase,diastase,A09AA,A09A,A09,A0,A,No
343,A09AA02,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Enzyme preparations,"multienzymes (lipase, protease etc.)","multienzymes (lipase, protease etc.)",A09AA,A09A,A09,A0,A,No
344,A09AA03,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Enzyme preparations,pepsin,pepsin,A09AA,A09A,A09,A0,A,No
345,A09AA04,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Enzyme preparations,tilactase,tilactase,A09AA,A09A,A09,A0,A,No
346,A09AB01,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Acid preparations,glutamic acid hydrochloride,glutamic acid hydrochloride,A09AB,A09A,A09,A0,A,No
347,A09AB02,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Acid preparations,betaine hydrochloride,betaine hydrochloride,A09AB,A09A,A09,A0,A,No
348,A09AB03,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Acid preparations,hydrochloric acid,hydrochloric acid,A09AB,A09A,A09,A0,A,No
349,A09AB04,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Acid preparations,citric acid,citric acid,A09AB,A09A,A09,A0,A,No
350,A09AC01,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES","Enzyme and acid preparations, combinations",pepsin and acid preparations,pepsin and acid preparations,A09AC,A09A,A09,A0,A,No
351,A09AC02,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES","Enzyme and acid preparations, combinations",multienzymes and acid preparations,multienzymes and acid preparations,A09AC,A09A,A09,A0,A,No
352,A10AB01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",insulin (human),insulin (human),A10AB,A10A,A10,A1,A,No
353,A10AB02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",insulin (beef),insulin (beef),A10AB,A10A,A10,A1,A,No
354,A10AB03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",insulin (pork),insulin (pork),A10AB,A10A,A10,A1,A,No
355,A10AB04,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",insulin lispro,insulin lispro,A10AB,A10A,A10,A1,A,No
356,A10AB05,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",insulin aspart,insulin aspart,A10AB,A10A,A10,A1,A,No
357,A10AB06,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting",insulin glulisine,insulin glulisine,A10AB,A10A,A10,A1,A,No
358,A10AD06,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",insulin degludec and insulin aspart,insulin degludec and insulin aspart,A10AD,A10A,A10,A1,A,No
359,A10AE04,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, long-acting",insulin glargine,insulin glargine,A10AE,A10A,A10,A1,A,No
360,A10AE05,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, long-acting",insulin detemir,insulin detemir,A10AE,A10A,A10,A1,A,No
361,A10AE06,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, long-acting",insulin degludec,insulin degludec,A10AE,A10A,A10,A1,A,No
362,A10BA01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Biguanides,phenformin,phenformin,A10BA,A10B,A10,A1,A,Yes
363,A10BA02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Biguanides,metformin,metformin,A10BA,A10B,A10,A1,A,Yes
364,A10BA03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Biguanides,buformin,buformin,A10BA,A10B,A10,A1,A,Yes
365,A10BB01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",glibenclamide,glibenclamide,A10BB,A10B,A10,A1,A,Yes
366,A10BB02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",chlorpropamide,chlorpropamide,A10BB,A10B,A10,A1,A,Yes
367,A10BB03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",tolbutamide,tolbutamide,A10BB,A10B,A10,A1,A,Yes
368,A10BB04,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",glibornuride,glibornuride,A10BB,A10B,A10,A1,A,Yes
369,A10BB05,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",tolazamide,tolazamide,A10BB,A10B,A10,A1,A,Yes
370,A10BB06,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",carbutamide,carbutamide,A10BB,A10B,A10,A1,A,Yes
371,A10BB07,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",glipizide,glipizide,A10BB,A10B,A10,A1,A,Yes
372,A10BB08,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",gliquidone,gliquidone,A10BB,A10B,A10,A1,A,Yes
373,A10BB09,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",gliclazide,gliclazide,A10BB,A10B,A10,A1,A,Yes
374,A10BB10,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",metahexamide,metahexamide,A10BB,A10B,A10,A1,A,Yes
375,A10BB11,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",glisoxepide,glisoxepide,A10BB,A10B,A10,A1,A,Yes
376,A10BB12,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",glimepiride,glimepiride,A10BB,A10B,A10,A1,A,Yes
377,A10BB31,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonamides, urea derivatives",acetohexamide,acetohexamide,A10BB,A10B,A10,A1,A,Yes
378,A10BC01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Sulfonamides (heterocyclic),glymidine,glymidine,A10BC,A10B,A10,A1,A,Yes
379,A10BD01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,phenformin and sulfonamides,phenformin and sulfonamides,A10BD,A10B,A10,A1,A,No
380,A10BD02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and sulfonamides,metformin and sulfonamides,A10BD,A10B,A10,A1,A,No
381,A10BD03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and rosiglitazone,metformin and rosiglitazone,A10BD,A10B,A10,A1,A,No
382,A10BD04,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,glimepiride and rosiglitazone,glimepiride and rosiglitazone,A10BD,A10B,A10,A1,A,No
383,A10BD05,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and pioglitazone,metformin and pioglitazone,A10BD,A10B,A10,A1,A,No
384,A10BD06,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,glimepiride and pioglitazone,glimepiride and pioglitazone,A10BD,A10B,A10,A1,A,No
385,A10BD07,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and sitagliptin,metformin and sitagliptin,A10BD,A10B,A10,A1,A,No
386,A10BD08,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and vildagliptin,metformin and vildagliptin,A10BD,A10B,A10,A1,A,No
387,A10BD09,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,pioglitazone and alogliptin,pioglitazone and alogliptin,A10BD,A10B,A10,A1,A,No
388,A10BD10,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and saxagliptin,metformin and saxagliptin,A10BD,A10B,A10,A1,A,No
389,A10BD11,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and linagliptin,metformin and linagliptin,A10BD,A10B,A10,A1,A,No
390,A10BD12,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,pioglitazone and sitagliptin,pioglitazone and sitagliptin,A10BD,A10B,A10,A1,A,No
391,A10BD13,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and alogliptin,metformin and alogliptin,A10BD,A10B,A10,A1,A,No
392,A10BD14,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and repaglinide,metformin and repaglinide,A10BD,A10B,A10,A1,A,No
393,A10BD15,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs,metformin and dapagliflozin,metformin and dapagliflozin,A10BD,A10B,A10,A1,A,No
394,A10BF01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Alpha glucosidase inhibitors,acarbose,acarbose,A10BF,A10B,A10,A1,A,Yes
395,A10BF02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Alpha glucosidase inhibitors,miglitol,miglitol,A10BF,A10B,A10,A1,A,Yes
396,A10BF03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Alpha glucosidase inhibitors,voglibose,voglibose,A10BF,A10B,A10,A1,A,Yes
397,A10BG01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Thiazolidinediones,troglitazone,troglitazone,A10BG,A10B,A10,A1,A,Yes
398,A10BG02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Thiazolidinediones,rosiglitazone,rosiglitazone,A10BG,A10B,A10,A1,A,Yes
399,A10BG03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Thiazolidinediones,pioglitazone,pioglitazone,A10BG,A10B,A10,A1,A,Yes
400,A10BH01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Dipeptidyl peptidase 4 (DPP-4) inhibitors,sitagliptin,sitagliptin,A10BH,A10B,A10,A1,A,Yes
401,A10BH02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Dipeptidyl peptidase 4 (DPP-4) inhibitors,vildagliptin,vildagliptin,A10BH,A10B,A10,A1,A,Yes
402,A10BH03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Dipeptidyl peptidase 4 (DPP-4) inhibitors,saxagliptin,saxagliptin,A10BH,A10B,A10,A1,A,Yes
403,A10BH04,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Dipeptidyl peptidase 4 (DPP-4) inhibitors,alogliptin,alogliptin,A10BH,A10B,A10,A1,A,Yes
404,A10BH05,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Dipeptidyl peptidase 4 (DPP-4) inhibitors,linagliptin,linagliptin,A10BH,A10B,A10,A1,A,Yes
405,A10BH06,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Dipeptidyl peptidase 4 (DPP-4) inhibitors,gemigliptin,gemigliptin,A10BH,A10B,A10,A1,A,Yes
406,A10BH51,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Dipeptidyl peptidase 4 (DPP-4) inhibitors,sitagliptin and simvastatin,sitagliptin and simvastatin,A10BH,A10B,A10,A1,A,No
407,A10BX01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",guar gum,guar gum,A10BX,A10B,A10,A1,A,Yes
408,A10BX02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",repaglinide,repaglinide,A10BX,A10B,A10,A1,A,Yes
409,A10BX03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",nateglinide,nateglinide,A10BX,A10B,A10,A1,A,Yes
410,A10BX04,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",exenatide,exenatide,A10BX,A10B,A10,A1,A,Yes
411,A10BX05,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",pramlintide,pramlintide,A10BX,A10B,A10,A1,A,Yes
412,A10BX06,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",benfluorex,benfluorex,A10BX,A10B,A10,A1,A,Yes
413,A10BX07,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",liraglutide,liraglutide,A10BX,A10B,A10,A1,A,Yes
414,A10BX08,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",mitiglinide,mitiglinide,A10BX,A10B,A10,A1,A,Yes
415,A10BX09,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",dapagliflozin,dapagliflozin,A10BX,A10B,A10,A1,A,Yes
416,A10BX10,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",lixisenatide,lixisenatide,A10BX,A10B,A10,A1,A,Yes
417,A10BX11,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",canagliflozin,canagliflozin,A10BX,A10B,A10,A1,A,Yes
418,A10BX12,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins",empagliflozin,empagliflozin,A10BX,A10B,A10,A1,A,Yes
419,A10XA01,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,OTHER DRUGS USED IN DIABETES,Aldose reductase inhibitors,tolrestat,tolrestat,A10XA,A10X,A10,A1,A,Yes
420,A11AA01,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"MULTIVITAMINS, COMBINATIONS",Multivitamins with minerals,multivitamins and iron,multivitamins and iron,A11AA,A11A,A11,A1,A,No
421,A11AA02,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"MULTIVITAMINS, COMBINATIONS",Multivitamins with minerals,multivitamins and calcium,multivitamins and calcium,A11AA,A11A,A11,A1,A,No
422,A11AA03,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"MULTIVITAMINS, COMBINATIONS",Multivitamins with minerals,"multivitamins and other minerals, incl. combinations","multivitamins and other minerals, incl. combinations",A11AA,A11A,A11,A1,A,No
423,A11AA04,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"MULTIVITAMINS, COMBINATIONS",Multivitamins with minerals,multivitamins and trace elements,multivitamins and trace elements,A11AA,A11A,A11,A1,A,No
424,A11CA01,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain",retinol (vit A),retinol (vit A),A11CA,A11C,A11,A1,A,No
425,A11CA02,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain",betacarotene,betacarotene,A11CA,A11C,A11,A1,A,No
426,A11CC01,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,ergocalciferol,ergocalciferol,A11CC,A11C,A11,A1,A,No
427,A11CC02,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,dihydrotachysterol,dihydrotachysterol,A11CC,A11C,A11,A1,A,No
428,A11CC03,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,alfacalcidol,alfacalcidol,A11CC,A11C,A11,A1,A,No
429,A11CC04,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,calcitriol,calcitriol,A11CC,A11C,A11,A1,A,No
430,A11CC05,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,colecalciferol,colecalciferol,A11CC,A11C,A11,A1,A,No
431,A11CC06,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues,calcifediol,calcifediol,A11CC,A11C,A11,A1,A,No
432,A11DA01,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12","Vitamin B1, plain",thiamine (vit B1),thiamine (vit B1),A11DA,A11D,A11,A1,A,No
433,A11DA02,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12","Vitamin B1, plain",sulbutiamine,sulbutiamine,A11DA,A11D,A11,A1,A,No
434,A11DA03,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12","Vitamin B1, plain",benfotiamine,benfotiamine,A11DA,A11D,A11,A1,A,No
435,A11GA01,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","Ascorbic acid (vitamin C), plain",ascorbic acid (vit C),ascorbic acid (vit C),A11GA,A11G,A11,A1,A,No
436,A11GB01,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","Ascorbic acid (vitamin C), combinations",ascorbic acid (vit C) and calcium,ascorbic acid (vit C) and calcium,A11GB,A11G,A11,A1,A,No
437,A11HA01,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,nicotinamide,nicotinamide,A11HA,A11H,A11,A1,A,No
438,A11HA02,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,pyridoxine (vit B6),pyridoxine (vit B6),A11HA,A11H,A11,A1,A,No
439,A11HA03,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,tocopherol (vit E),tocopherol (vit E),A11HA,A11H,A11,A1,A,No
440,A11HA04,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,riboflavin (vit B2),riboflavin (vit B2),A11HA,A11H,A11,A1,A,No
441,A11HA05,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,biotin,biotin,A11HA,A11H,A11,A1,A,No
442,A11HA06,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,pyridoxal phosphate,pyridoxal phosphate,A11HA,A11H,A11,A1,A,No
443,A11HA07,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,inositol,inositol,A11HA,A11H,A11,A1,A,No
444,A11HA08,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,tocofersolan,tocofersolan,A11HA,A11H,A11,A1,A,No
445,A11HA30,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,dexpanthenol,dexpanthenol,A11HA,A11H,A11,A1,A,No
446,A11HA31,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,calcium pantothenate,calcium pantothenate,A11HA,A11H,A11,A1,A,No
447,A11HA32,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations,pantethine,pantethine,A11HA,A11H,A11,A1,A,No
